occurrenceID,measurementType,measurementUnit,measurementValue,measurementTypeID,measurementUnitID,measurementValueID
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu43,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu43,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu43,NCBIID,,146780,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu43,NCBIScientificName,,Phallus,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu43,NCBITaxonRank,,genus,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu43,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu43,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,NCBIID,,5042,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,NCBIScientificName,,Eurotiales,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,NCBITaxonRank,,order,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu560,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,NCBIID,,4751,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,NCBIScientificName,,Fungi,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,NCBITaxonRank,,kingdom,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu362,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,NCBIID,,1871389,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,NCBIScientificName,,Roussoella solani,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,NCBITaxonRank,,species,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu184,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,NCBIID,,110564,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,NCBIScientificName,,Clonostachys,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,NCBITaxonRank,,genus,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu180,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,lowerLimitFilterSize,micrometer,100,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100011/,https://vocab.nerc.ac.uk/collection/P06/current/UMIC/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,sampleAccessionNumber,,SAMEA10021238,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,NCBIID,,29909,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,NCBIScientificName,,Tolypocladium,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,NCBITaxonRank,,genus,,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,fieldReplicateID,,ARMS_Getxo_G_20200624_20201103,http://vocab.nerc.ac.uk/collection/P01/current/IDSPRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu337,technicalReplicateID,,,http://vocab.nerc.ac.uk/collection/P01/current/IDTCRE01,,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu50,submergedTime,day,132,http://vocab.nerc.ac.uk/collection/P01/current/AZDRZZ01/,https://vocab.nerc.ac.uk/collection/P06/current/UTAA/,
ARMS_Getxo_G1_20200624_20201103_MF100_s1_r1:Otu50,preservativeUsed,,DMSO,http://vocab.nerc.ac.uk/collection/Q01/current/Q0100004/,,https://pubchem.ncbi.nlm.nih.gov/compound/679
