occurrenceID,basisOfRecord,institutionCode,datasetName,occurrenceStatus,eventID,materialSampleID,eventDate,organismQuantity,organismQuantityType,sampleSizeValue,sampleSizeUnit,samplingProtocol,associatedSequences,identificationReferences,identificationRemarks,locationID,decimalLatitude,decimalLongitude,countryCode,fieldNumber,minimumDepthInMeters,maximumDepthInMeters,habitat,occurrenceRemarks,eventRemarks,datasetID,verbatimIdentification,scientificNameID,scientificName,taxonRank,taxonId,taxonConceptID,catalogNumber
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,149,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Hexanauplia;Sessilia;Balanidae;Balanus;Balanus balanus,urn:lsid:marinespecies.org:taxname:106213,Balanus balanus,Species,ASV_1:6cc2219a0f66822b1ada491e96eafd953a0f7269,NCBI:172567,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,16,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Insecta;Diptera;Chironomidae;Tokunagaia;Tokunagaia parexcellens,,Eukaryota,domain,ASV_2:b69b514e60af5aa0249acdee2b78ab1f735a0e7a,NCBI:2578648,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,6,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Annelida;Polychaeta;Phyllodocida;Nereididae;Alitta;Alitta virens,urn:lsid:marinespecies.org:taxname:234851,Alitta virens,Species,ASV_3:fae714df998258ca756f8df0c88f7c9e3a2c72f5,NCBI:880429,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_4:c77101d4a16459a17d90f37d36ab36b13403a2a6,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,177,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,,Eukaryota,domain,ASV_4:c77101d4a16459a17d90f37d36ab36b13403a2a6,NCBI:265559,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_5:8a6aaec2f0803106613df91ee79911ada3f9cfb4,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,3053,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia longissima,urn:lsid:marinespecies.org:taxname:117389,Obelia longissima,Species,ASV_5:8a6aaec2f0803106613df91ee79911ada3f9cfb4,NCBI:32570,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_6:f7781e8b9953dfcf2f665a1b7ad237b745134a38,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,1745,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Ectocarpales;Phaeophyceae 16;Ectocarpales;Chordariaceae;Mesogloia;Mesogloia ikomae,,Eukaryota,domain,ASV_6:f7781e8b9953dfcf2f665a1b7ad237b745134a38,NCBI:309742,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_10:34db4b9bb9f1c905364c01935bd48b6d2b850687,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,838,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Annelida;Polychaeta;Dinophilidae;Dinophilidae;Dinophilus;Dinophilus vorticoides,urn:lsid:marinespecies.org:taxname:130002,Dinophilus vorticoides,Species,ASV_10:34db4b9bb9f1c905364c01935bd48b6d2b850687,NCBI:2576727,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_11:42ee08b6b5d2f287a2e08cd5d2f4bca0770e07c8,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,494,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Lysianassidae;Onisimus;Onisimus nanseni,,Eukaryota,domain,ASV_11:42ee08b6b5d2f287a2e08cd5d2f4bca0770e07c8,NCBI:583350,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_12:6889830f91d9b4e931538d0e6d1617332dc7c8fe,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,84,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Fragilariophyceae;Thalassionemales;Thalassionemataceae;Thalassionema;Thalassionema nitzschioides,,Eukaryota,domain,ASV_12:6889830f91d9b4e931538d0e6d1617332dc7c8fe,NCBI:33649,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_13:e0f9988a45b88ebfcc4f1d4349df7f321dee4f43,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,4702,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Basidiomycota;Agaricostilbomycetes;Agaricostilbales;Agaricostilbaceae;Sterigmatomyces;Sterigmatomyces sp,,Eukaryota,domain,ASV_13:e0f9988a45b88ebfcc4f1d4349df7f321dee4f43,NCBI:1972484,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_18:610a83eb6f8fab2f02d0c4affb939d6162460808,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,23,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Insecta;Coleoptera;Scarabaeidae;Onthophagus;Onthophagus bicallosus,,Eukaryota,domain,ASV_18:610a83eb6f8fab2f02d0c4affb939d6162460808,NCBI:1848760,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_19:641bac07ea87f1ca7c01499d93267e36f8e95c85,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,3,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Cnidaria;Hydrozoa;Leptothecata;Obeliidae;Obelia;Obelia geniculata,urn:lsid:marinespecies.org:taxname:117388,Obelia geniculata,Species,ASV_19:641bac07ea87f1ca7c01499d93267e36f8e95c85,NCBI:185004,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_20:5ae1341da7ed3b29f88201563c85b12b0112a65a,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,51,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Mediophyceae;Triceratiales;Plagiogrammaceae;Psammoneis;Psammoneis japonica,,Eukaryota,domain,ASV_20:5ae1341da7ed3b29f88201563c85b12b0112a65a,NCBI:517775,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_21:af8eabcaace8470de9ae7ad3f47a0a19d09420af,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,272,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Canthocamptidae;Canthocamptus;Canthocamptus coreensis,urn:lsid:marinespecies.org:taxname:1065,Arthropoda,Phylum,ASV_21:af8eabcaace8470de9ae7ad3f47a0a19d09420af,NCBI:1795125,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_24:b2a7c7c19cbf23abb45d665657a904a82927b316,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,107,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Coscinodiscophyceae;Melosirales;Melosiraceae;Melosira;Melosira ambiqua,,Eukaryota,domain,ASV_24:b2a7c7c19cbf23abb45d665657a904a82927b316,NCBI:70449,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_25:446a628435aecb942a04b98c422576b56662f40d,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,4,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Pleurosigmataceae;Pleurosigma;Pleurosigma strigosum,,Eukaryota,domain,ASV_25:446a628435aecb942a04b98c422576b56662f40d,NCBI:1514139,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_27:b742e7f3fa50bb43ad72546cb25d1f7d80fea519,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,2095,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Malacostraca;Amphipoda;Corophiidae;Monocorophium;Monocorophium insidiosum,urn:lsid:marinespecies.org:taxname:148592,Monocorophium insidiosum,Species,ASV_27:b742e7f3fa50bb43ad72546cb25d1f7d80fea519,NCBI:1582901,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_28:add775140feb457d388737ef517344e66f165d74,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,1176,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Arthropoda;Hexanauplia;Harpacticoida;Harpacticidae;Harpacticus;Harpacticus uniremis,urn:lsid:marinespecies.org:taxname:116179,Harpacticus uniremis,Species,ASV_28:add775140feb457d388737ef517344e66f165d74,NCBI:1795117,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_34:b38addb8ba5514fbb141aabe015291ad416c1d9f,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,131,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,uncertain classification (not marine),Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Mayamaea;Mayamaea permitis,,Eukaryota,domain,ASV_34:b38addb8ba5514fbb141aabe015291ad416c1d9f,NCBI:1302819,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_39:19c6ad736c20696dc63c3030d3e3a6075d01064b,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,23,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Naviculaceae;Navicula;Navicula ramosissima,,Eukaryota,domain,ASV_39:19c6ad736c20696dc63c3030d3e3a6075d01064b,NCBI:265559,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_44:7fa934ff9f510b12a1bd35f283d91b6b876af4e7,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,262,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Bacillariophyceae;Naviculales;Berkeleyaceae;Berkeleya;Berkeleya fennica,urn:lsid:marinespecies.org:taxname:621564,Berkeleya fennica,Species,ASV_44:7fa934ff9f510b12a1bd35f283d91b6b876af4e7,NCBI:1577906,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1:ASV_45:b0def8e326d53a5c73ed12c28cb498e966457be7,MaterialSample,ARMS-MBON,data_release_002,present,ARMS_SWC_Bjorko1_20200131_20200518,SAMEA7685789,2020-01-31/2020-05-18,390,DNA sequence reads,18088,DNA sequence reads,https://github.com/arms-mbon/documentation/tree/main/armsmbon_handbook,ERR4914112,PEMA v2.1.4 https://github.com/hariszaf/pema | https://github.com/arms-mbon/analysis_release_002/tree/main/parameter_files,RDP classifier; confidence cutoff 0.8; ref db Midori v2 | Midori v2 | swarm2; d = 10,44G1 (http://marineregions.org/mrgid/42011),57.717984,11.679989,SE,SWC_Bjorko1,1.5,1.5,Marina; semi-industrial; 9.2 - Subtidal Rock and Rocky Reefs,,Was a crate cover used when retrieving the unit: not provided; Which component of the ARMS unit material was extracted: Motile,https://github.com/arms-mbon/data_release_002,Eukaryota;Bacillariophyta;Bacillariophyceae;Bacillariales;Bacillariaceae;Cylindrotheca;Cylindrotheca closterium,urn:lsid:marinespecies.org:taxname:149004,Cylindrotheca closterium,Species,ASV_45:b0def8e326d53a5c73ed12c28cb498e966457be7,NCBI:2856,ARMS_SWC_Bjorko1_20200131_20200518_MF100_s1_r1
